dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1043,3649,913,48,2,0.8389923329682366,0.8330161970237632,0.3455508789334949,3.1645758152008057,8.507834434509277,ok,
OpenML-ID-22,1600,400,47,10,0.82,0.8164164201310345,0.286748186045634,0.6584763526916504,1.0441508293151855,ok,
OpenML-ID-31,800,200,20,2,0.725,0.7101761956130888,0.5031673670307497,0.42661499977111816,0.43572425842285156,ok,
OpenML-ID-41143,2387,597,144,2,0.8157453936348409,0.8124198781330595,0.40874670235189053,0.5504097938537598,4.447739362716675,ok,
OpenML-ID-41159,16000,4000,4296,2,0.8345,0.8310073553007692,0.3811430234391566,31.637232065200806,10761.628959178925,ok,
