dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,1035,259,141,11,0.42084942084942084,0.40385422013219774,1.6671285015820552,3.3213822841644287,13.166823625564575,ok,
Cardiovascular-Disease-dataset,56000,14000,11,2,0.7329285714285714,0.7327049003374879,0.5453137664886942,0.8673954010009766,58.14836764335632,ok,
INNHotelsGroup,29020,7255,17,2,0.8891798759476224,0.8881720059333691,0.27132353592879477,0.6886241436004639,20.359717845916748,ok,
Smoking_and_Drinking_Dataset_with_body_signal,793076,198270,23,2,0.7389166288394613,0.738890545516502,,10.170900821685791,9804.024048089981,ok,
